Bot Score:,0,Player Score: ,0,Time Between Rounds: ,3.16
Bot Score:,1,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,2,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,3,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,4,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,5,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,6,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,7,Player Score: ,0,Time Between Rounds: ,20.32
Bot Score:,8,Player Score: ,0,Time Between Rounds: ,14.75999
Bot Score:,9,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,10,Player Score: ,0,Time Between Rounds: ,3.18
Bot Score:,11,Player Score: ,0,Time Between Rounds: ,14.76
Bot Score:,12,Player Score: ,0,Time Between Rounds: ,8.099998
Bot Score:,13,Player Score: ,0,Time Between Rounds: ,7.700005
Bot Score:,14,Player Score: ,0,Time Between Rounds: ,7.699997
Bot Score:,15,Player Score: ,0,Time Between Rounds: ,19.94
Bot Score:,16,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,17,Player Score: ,0,Time Between Rounds: ,3.180008
Bot Score:,18,Player Score: ,0,Time Between Rounds: ,17.7
Bot Score:,19,Player Score: ,0,Time Between Rounds: ,11.48
Bot Score:,20,Player Score: ,0,Time Between Rounds: ,3.179993
Bot Score:,21,Player Score: ,0,Time Between Rounds: ,12.52
Bot Score:,22,Player Score: ,0,Time Between Rounds: ,20.32001
Bot Score:,23,Player Score: ,0,Time Between Rounds: ,14.75998
Bot Score:,24,Player Score: ,0,Time Between Rounds: ,11.48001
Bot Score:,25,Player Score: ,0,Time Between Rounds: ,14.76001
Bot Score:,26,Player Score: ,0,Time Between Rounds: ,7.699982
Bot Score:,27,Player Score: ,0,Time Between Rounds: ,7.700012
Total Time:,303.3181
